Date,RD,Temp,Prec
10/11/1972,23.785,11.2,0.025
11/11/1972,21.72,11.2,0.81
12/11/1972,19.912,11.2,0.39
13/11/1972,27.625,11.2,0.025
14/11/1972,14.701,11.2,0.565
15/11/1972,14.542,11.2,6.88
16/11/1972,16.434,11.2,2.99
17/11/1972,19.639,11.2,1.185
18/11/1972,21.003,11.2,8.84
19/11/1972,24.553,11.2,7.005
20/11/1972,57.809,11.2,27.385
21/11/1972,295.552,11.2,27.255
22/11/1972,186.93,11.2,3.25
23/11/1972,125.274,11.2,6.915
24/11/1972,118.35,11.2,6.7
25/11/1972,99.139,11.2,0.015
26/11/1972,75.702,11.2,0
27/11/1972,59.071,11.2,0
28/11/1972,50.794,11.2,0
29/11/1972,46.751,11.2,0
30/11/1972,42.242,11.2,0.91
01/12/1972,36.946,8.05,0.745
02/12/1972,45.607,8.05,14.58
03/12/1972,80.999,8.05,14.6
04/12/1972,70.243,8.05,2.27
05/12/1972,55.426,8.05,1.775
06/12/1972,52.614,8.05,1.875
07/12/1972,281.754,8.05,45.75
08/12/1972,425.132,8.05,15.05
09/12/1972,228.357,8.05,1.695
10/12/1972,149.129,8.05,0
11/12/1972,110.665,8.05,0.03
12/12/1972,89.011,8.05,0
13/12/1972,77.157,8.05,0
14/12/1972,73.268,8.05,0
15/12/1972,71.405,8.05,5
16/12/1972,84.528,8.05,8.685
17/12/1972,120.809,8.05,3.31
18/12/1972,94.561,8.05,0.595
19/12/1972,76.65,8.05,0.1
20/12/1972,67.185,8.05,0.045
21/12/1972,59.669,8.05,0
22/12/1972,54.965,8.05,0
23/12/1972,52.45,8.05,0
24/12/1972,49.826,8.05,0
25/12/1972,49.213,8.05,1.565
26/12/1972,61.242,8.05,14.155
27/12/1972,114.752,8.05,19.48
28/12/1972,233.551,8.05,15.45
29/12/1972,186.847,8.05,2.93
30/12/1972,142.427,8.05,0.13
31/12/1972,117.244,8.05,0
01/01/1973,105.365,7.425,0.45
02/01/1973,89.192,7.425,0
03/01/1973,81.178,7.425,0
04/01/1973,74.232,7.425,0
05/01/1973,61.649,7.425,0
06/01/1973,51.937,7.425,0
07/01/1973,47.373,7.425,0
08/01/1973,42.779,7.425,0
09/01/1973,40.11,7.425,0
10/01/1973,38.495,7.425,0
11/01/1973,37.775,7.425,1.35
12/01/1973,42.559,7.425,3.025
13/01/1973,144.303,7.425,34.51
14/01/1973,175.957,7.425,5.9
15/01/1973,237.093,7.425,18.36
16/01/1973,242.526,7.425,9.135
17/01/1973,1160.69,7.425,63.255
18/01/1973,907.392,7.425,9.385
19/01/1973,391.608,7.425,3.315
20/01/1973,357.039,7.425,12.355
21/01/1973,397.092,7.425,12.755
22/01/1973,373.184,7.425,8.86
23/01/1973,272.201,7.425,0.93
24/01/1973,218.934,7.425,0
25/01/1973,185.735,7.425,0
26/01/1973,162.66,7.425,0
27/01/1973,143.991,7.425,0
28/01/1973,128.697,7.425,0
29/01/1973,114.506,7.425,0
30/01/1973,103.266,7.425,0
31/01/1973,95.984,7.425,0.265
01/02/1973,89.307,7.725,0.78
02/02/1973,84.174,7.725,0.325
03/02/1973,75.692,7.725,0.03
04/02/1973,69.196,7.725,0
05/02/1973,62.876,7.725,0
06/02/1973,58.078,7.725,0
07/02/1973,55.108,7.725,0
08/02/1973,51.808,7.725,0
09/02/1973,49.464,7.725,0.195
10/02/1973,47.327,7.725,0.93
11/02/1973,44.253,7.725,0
12/02/1973,38.842,7.725,0.01
13/02/1973,38.21,7.725,3.74
14/02/1973,48.065,7.725,9.605
15/02/1973,92.579,7.725,14.9779875
16/02/1973,91.474,7.725,4.405
17/02/1973,70.127,7.725,0.155
18/02/1973,59.769,7.725,0.095
19/02/1973,52.055,7.725,0
20/02/1973,47.679,7.725,0
21/02/1973,45.485,7.725,0
22/02/1973,42.648,7.725,0.005
23/02/1973,40.829,7.725,0
24/02/1973,39.929,7.725,0
25/02/1973,40.01,7.725,2.9
26/02/1973,40.252,7.725,1.325
27/02/1973,39.201,7.725,0.245
28/02/1973,38.054,7.725,0
01/03/1973,35.141,10.375,0
02/03/1973,32.082,10.375,0
03/03/1973,30.494,10.375,0
04/03/1973,28.321,10.375,0
05/03/1973,25.381,10.375,0
06/03/1973,23.041,10.375,0
07/03/1973,20.905,10.375,0
08/03/1973,19.216,10.375,0
09/03/1973,18.694,10.375,0
10/03/1973,18.413,10.375,0
11/03/1973,18.983,10.375,1.59
12/03/1973,20.577,10.375,5.75
13/03/1973,19.851,10.375,3.565
14/03/1973,18.498,10.375,2.45
15/03/1973,17.528,10.375,0
16/03/1973,15.367,10.375,0
17/03/1973,13.956,10.375,0
18/03/1973,13.407,10.375,0
19/03/1973,12.854,10.375,0
20/03/1973,12.518,10.375,0
21/03/1973,12.305,10.375,0
22/03/1973,11.877,10.375,0
