Date,RD,Temp,Prec
01/10/1984 09:00,1.39,16.65,29
02/10/1984 09:00,1.5,16.65,9.5
03/10/1984 09:00,2.02,16.65,18.5
04/10/1984 09:00,3.44,16.65,48.5
05/10/1984 09:00,2.71,16.65,4
06/10/1984 09:00,2.28,16.65,0
07/10/1984 09:00,2.12,16.65,0
08/10/1984 09:00,2.05,16.65,0
09/10/1984 09:00,1.93,16.65,0
10/10/1984 09:00,1.86,16.65,0
11/10/1984 09:00,1.68,16.65,0
12/10/1984 09:00,1.53,16.65,0
13/10/1984 09:00,1.53,16.65,0
14/10/1984 09:00,1.57,16.65,0
15/10/1984 09:00,1.5,16.65,0
16/10/1984 09:00,1.23,16.65,0
17/10/1984 09:00,0.99,16.65,0
18/10/1984 09:00,1.2,16.65,0
19/10/1984 09:00,2.96,16.65,124
20/10/1984 09:00,3.73,16.65,2
21/10/1984 09:00,2.75,16.65,0
22/10/1984 09:00,2.39,16.65,0
23/10/1984 09:00,2.24,16.65,0
24/10/1984 09:00,2.16,16.65,0
25/10/1984 09:00,2.12,16.65,4
26/10/1984 09:00,2.12,16.65,0
27/10/1984 09:00,2.16,16.65,0
28/10/1984 09:00,2.16,16.65,2
29/10/1984 09:00,2.05,16.65,2
30/10/1984 09:00,2.01,16.65,0
31/10/1984 09:00,2.01,16.65,0
01/11/1984 09:00,1.97,13.55,0
02/11/1984 09:00,2.12,13.55,22
03/11/1984 09:00,2.2,13.55,2
04/11/1984 09:00,2.52,13.55,24
05/11/1984 09:00,2.75,13.55,41
06/11/1984 09:00,3.09,13.55,22
07/11/1984 09:00,4.35,13.55,24
08/11/1984 09:00,4.56,13.55,11
09/11/1984 09:00,3.76,13.55,0
10/11/1984 09:00,3.29,13.55,0
11/11/1984 09:00,3,13.55,0
12/11/1984 09:00,3.12,13.55,19
13/11/1984 09:00,3.25,13.55,2
14/11/1984 09:00,3.12,13.55,9
15/11/1984 09:00,3.2,13.55,23.5
16/11/1984 09:00,6.92,13.55,79.5
17/11/1984 09:00,7.8,13.55,7
18/11/1984 09:00,5.44,13.55,1.5
19/11/1984 09:00,6.21,13.55,10
20/11/1984 09:00,5.92,13.55,14
21/11/1984 09:00,5.92,13.55,10
22/11/1984 09:00,7.19,13.55,31.5
23/11/1984 09:00,8.06,13.55,10
24/11/1984 09:00,10.44,13.55,55.5
25/11/1984 09:00,14.51,13.55,54.5
26/11/1984 09:00,13.73,13.55,14
27/11/1984 09:00,9.45,13.55,0
28/11/1984 09:00,7.25,13.55,0
29/11/1984 09:00,6.25,13.55,0
30/11/1984 09:00,7.42,13.55,17
01/12/1984 09:00,8.73,11.05,27
02/12/1984 09:00,8.01,11.05,11
03/12/1984 09:00,8.81,11.05,47.5
04/12/1984 09:00,8.71,11.05,2
05/12/1984 09:00,6.79,11.05,2.5
06/12/1984 09:00,6.45,11.05,7
07/12/1984 09:00,6.16,11.05,0
08/12/1984 09:00,5.53,11.05,0
09/12/1984 09:00,5.2,11.05,0
10/12/1984 09:00,4.88,11.05,0
11/12/1984 09:00,4.56,11.05,0
12/12/1984 09:00,4.42,11.05,0
13/12/1984 09:00,5.22,11.05,0
14/12/1984 09:00,5.4,11.05,24
15/12/1984 09:00,5.06,11.05,16
16/12/1984 09:00,5.72,11.05,17.5
17/12/1984 09:00,5.4,11.05,16
18/12/1984 09:00,5.25,11.05,0
19/12/1984 09:00,5.35,11.05,0
20/12/1984 09:00,4.79,11.05,0
21/12/1984 09:00,4.56,11.05,0
22/12/1984 09:00,4.47,11.05,0
23/12/1984 09:00,4.38,11.05,0
24/12/1984 09:00,4.2,11.05,0
25/12/1984 09:00,4.2,11.05,0
26/12/1984 09:00,4.11,11.05,1.5
27/12/1984 09:00,4.24,11.05,19.5
28/12/1984 09:00,4.51,11.05,8.5
29/12/1984 09:00,4.29,11.05,0
30/12/1984 09:00,4.06,11.05,0
31/12/1984 09:00,4.02,11.05,0
01/01/1985 09:00,4.11,8.9,0
02/01/1985 09:00,3.98,8.9,0
03/01/1985 09:00,3.72,8.9,0
04/01/1985 09:00,3.67,8.9,0
05/01/1985 09:00,4.21,8.9,1
06/01/1985 09:00,4.38,8.9,32
07/01/1985 09:00,3.89,8.9,0
08/01/1985 09:00,3.67,8.9,0
09/01/1985 09:00,3.54,8.9,0
10/01/1985 09:00,3.46,8.9,0
11/01/1985 09:00,3.37,8.9,0
12/01/1985 09:00,3.33,8.9,0
13/01/1985 09:00,3.5,8.9,0
14/01/1985 09:00,3.5,8.9,0
15/01/1985 09:00,3.29,8.9,0
16/01/1985 09:00,3.29,8.9,0
17/01/1985 09:00,4.69,8.9,23
18/01/1985 09:00,6.8,8.9,13.5
19/01/1985 09:00,6.19,8.9,7
