Date,RD,Temp,Prec
19/02/1978,427.15,8.5,60.5
20/02/1978,385.11,8.5,30.8
21/02/1978,316.13,8.5,17.8
22/02/1978,247.55,8.5,0
23/02/1978,268.28,8.5,25.5
24/02/1978,333.18,8.5,18.3
25/02/1978,665.56,8.5,48.4
26/02/1978,467.63,8.5,12.6
27/02/1978,476.53,8.5,33.9
28/02/1978,697.27,8.5,48
01/03/1978,731.1,10.7,27.1
02/03/1978,742.4,10.7,29.5
03/03/1978,642.27,10.7,36.7
04/03/1978,463,10.7,19.3
05/03/1978,308.86,10.7,0
06/03/1978,248.14,10.7,0
07/03/1978,191.17,10.7,0
08/03/1978,151.83,10.7,0
09/03/1978,120.49,10.7,0
10/03/1978,102.37,10.7,0
11/03/1978,92.22,10.7,0
12/03/1978,84.01,10.7,1.9
13/03/1978,78.92,10.7,0.3
14/03/1978,76.44,10.7,4.6
15/03/1978,72.33,10.7,0
16/03/1978,75.67,10.7,28.5
17/03/1978,48.95,10.7,7.8
18/03/1978,73.56,10.7,1
19/03/1978,68.37,10.7,1.9
20/03/1978,64.04,10.7,0.1
21/03/1978,60.2,10.7,4.6
22/03/1978,57.79,10.7,0
23/03/1978,55.56,10.7,2.5
24/03/1978,51.65,10.7,0
25/03/1978,47.55,10.7,0
26/03/1978,43.81,10.7,0
27/03/1978,42.34,10.7,0
28/03/1978,42.17,10.7,0
29/03/1978,42.29,10.7,6
30/03/1978,51.83,10.7,12
31/03/1978,63.77,10.7,31.2
01/04/1978,66.71,10.6,7.5
02/04/1978,67.86,10.6,11.2
03/04/1978,67.6,10.6,0
04/04/1978,74.87,10.6,15
05/04/1978,74.8,10.6,8.2
06/04/1978,70.82,10.6,0
07/04/1978,69.65,10.6,0
08/04/1978,69.34,10.6,0.4
09/04/1978,64.68,10.6,0
10/04/1978,57.05,10.6,0
11/04/1978,50.78,10.6,0
12/04/1978,46.03,10.6,0
13/04/1978,42.31,10.6,0.2
14/04/1978,39.96,10.6,0.9
15/04/1978,37.97,10.6,0
16/04/1978,35.75,10.6,0
17/04/1978,37.01,10.6,1.1
18/04/1978,38.03,10.6,11.2
19/04/1978,39.69,10.6,0
